Date,Open,High,Low,Close,Adj Close,Volume
2018-01-24,622.000000,622.000000,606.299988,607.900024,607.146057,407727
2018-01-25,610.000000,617.000000,602.000000,613.750000,612.988770,502811
2018-01-29,617.000000,620.500000,603.450012,605.400024,604.649170,535119
2018-01-30,608.000000,609.799988,577.000000,593.400024,592.664063,469895
2018-01-31,590.049988,595.750000,587.400024,593.400024,592.664063,309228
2018-02-01,592.000000,609.000000,585.950012,590.200012,589.468018,1111961
2018-02-02,581.099976,585.000000,561.750000,564.950012,564.249329,552756
2018-02-05,558.000000,568.400024,547.549988,566.099976,565.397888,1739018
2018-02-06,544.049988,576.450012,534.500000,564.099976,563.400330,559306
2018-02-07,589.299988,598.799988,554.500000,558.700012,558.007080,370252
2018-02-08,560.549988,576.900024,560.549988,568.500000,567.794922,444928
2018-02-09,559.900024,579.000000,551.200012,557.500000,556.808533,372401
2018-02-12,565.750000,567.500000,555.000000,562.799988,562.101990,254133
2018-02-14,563.200012,565.000000,540.500000,543.950012,543.275391,1142530
2018-02-15,534.549988,554.299988,531.000000,543.750000,543.075623,751011
2018-02-16,544.200012,548.900024,534.849976,537.750000,537.083069,255710
2018-02-19,537.750000,542.849976,527.099976,539.450012,538.780945,295295
2018-02-20,542.000000,547.500000,529.599976,531.700012,531.040588,178029
2018-02-21,533.700012,537.799988,524.200012,535.200012,534.536255,218833
2018-02-22,533.599976,533.700012,527.250000,530.000000,529.342651,173889
2018-02-23,525.000000,538.400024,525.000000,536.549988,535.884521,203593
2018-02-26,537.200012,554.599976,537.200012,552.299988,551.614990,254031
2018-02-27,550.549988,551.750000,535.400024,537.500000,536.833374,201356
2018-02-28,535.000000,535.900024,521.000000,529.599976,528.943115,229107
2018-03-01,525.450012,534.799988,522.250000,526.099976,525.447449,247198
2018-03-05,524.799988,529.000000,520.250000,523.650024,523.000549,477910
2018-03-06,525.599976,530.400024,511.000000,516.799988,516.158997,317083
2018-03-07,513.450012,523.950012,507.549988,512.799988,512.164001,376354
2018-03-08,517.500000,523.700012,508.000000,520.150024,519.504883,457556
2018-03-09,521.200012,521.700012,502.899994,505.350006,504.723236,164854
2018-03-12,506.049988,521.400024,506.000000,519.200012,518.556091,226269
2018-03-13,519.000000,534.049988,515.349976,530.799988,530.141663,285486
2018-03-14,527.200012,537.000000,522.900024,535.549988,534.885742,375123
2018-03-15,531.099976,539.000000,528.000000,528.950012,528.294006,713609
2018-03-16,532.900024,533.000000,520.799988,523.450012,522.800781,237543
2018-03-19,521.150024,530.000000,517.200012,520.250000,519.604736,237207
2018-03-20,513.400024,524.950012,500.000000,520.900024,520.253967,214444
2018-03-21,520.599976,532.000000,516.000000,525.349976,524.698425,158145
2018-03-22,524.900024,525.349976,517.000000,518.299988,517.657166,180372
2018-03-23,511.000000,511.000000,496.549988,501.000000,500.378632,1120645
2018-03-26,500.000000,509.250000,495.350006,507.500000,506.870575,364398
2018-03-27,509.799988,522.000000,509.000000,511.250000,510.615906,261348
2018-03-28,511.250000,512.150024,501.549988,509.399994,508.768219,205316
2018-04-02,509.399994,509.399994,492.500000,498.200012,497.582123,416520
2018-04-03,493.100006,505.649994,493.100006,503.299988,502.675781,358118
2018-04-04,502.000000,504.000000,477.500000,490.149994,489.542084,356280
